6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	4	5
DarkGreen	Bar	Diamond	DarkGray	Rabbit	UpArrow	DarkBlue	DarkGray	LightTurquiose	DarkRed	Spade	UpArrow	Spade	LightPurple	Diamond	DarkRed	Spade	DarkGray	Bar	DarkGray	DarkRed	DarkRed	DarkRed	LightPurple	DarkRed	Nail	Nail
DarkGreen_Choice	Bar_Choice	Diamond_Choice	DarkGray_Choice	Rabbit_Choice	UpArrow_Choice	DarkBlue_Choice	DarkGray_Choice	LightTurquiose_Choice	DarkRed_Choice	Spade_Choice	UpArrow_Choice	Spade_Choice	LightPurple_Choice	Diamond_Choice	DarkRed_Choice	Spade_Choice	DarkGray_Choice	Bar_Choice	DarkGray_Choice	DarkRed_Choice	DarkRed_Choice	DarkRed_Choice	LightPurple_Choice	DarkRed_Choice	Nail_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Rabbit	Spade	LightPurple	UpArrow	UpArrow	DarkGray	Diamond	Hat	DarkRed	LightTurquiose	LightPurple	DarkGray	DarkGreen	Hat	LightYellow	Hat	LightYellow	DarkRed	LightPurple	DarkGray	Rabbit	Rabbit	Rabbit	LightPurple	Rabbit	Diamond	LightTurquiose
Rabbit	Spade	LightPurple	UpArrow	UpArrow	DarkGray	Diamond	Hat	DarkRed	LightTurquiose	LightPurple	DarkGray	DarkGreen	Hat	LightYellow	Hat	LightYellow	DarkRed	LightPurple	DarkGray	Rabbit	Rabbit	Rabbit	LightPurple	Rabbit	Diamond	LightTurquiose
Rabbit	Spade	LightPurple	UpArrow	UpArrow	DarkGray	Diamond	Hat	DarkRed	LightTurquiose	LightPurple	DarkGray	DarkGreen	Hat	LightYellow	Hat	LightYellow	DarkRed	LightPurple	DarkGray	Rabbit	Rabbit	Rabbit	LightPurple	Rabbit	Diamond	LightTurquiose
Rabbit_Choice	Spade_Choice	LightPurple_Choice	UpArrow_Choice	UpArrow_Choice	DarkGray_Choice	Diamond_Choice	Hat_Choice	DarkRed_Choice	LightTurquiose_Choice	LightPurple_Choice	DarkGray_Choice	DarkGreen_Choice	Hat_Choice	LightYellow_Choice	Hat_Choice	LightYellow_Choice	DarkRed_Choice	LightPurple_Choice	DarkGray_Choice	Rabbit_Choice	Rabbit_Choice	Rabbit_Choice	LightPurple_Choice	Rabbit_Choice	Diamond_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow	Rabbit	Rabbit	DarkBlue	Diamond	DarkBlue	LightPurple	Spade	DarkRed	Bar	Bar	LightTurquiose	DarkGray	DarkGray	DarkRed	UpArrow	Spade	DarkGray	LightPurple	DarkGreen	UpArrow	UpArrow	UpArrow	Hat	UpArrow	Hat	Spade
LightYellow	Rabbit	Rabbit	DarkBlue	Diamond	DarkBlue	LightPurple	Spade	DarkRed	Bar	Bar	LightTurquiose	DarkGray	DarkGray	DarkRed	UpArrow	Spade	DarkGray	LightPurple	DarkGreen	UpArrow	UpArrow	UpArrow	Hat	UpArrow	Hat	Spade
LightYellow	Rabbit	Rabbit	DarkBlue	Diamond	DarkBlue	LightPurple	Spade	DarkRed	Bar	Bar	LightTurquiose	DarkGray	DarkGray	DarkRed	UpArrow	Spade	DarkGray	LightPurple	DarkGreen	UpArrow	UpArrow	UpArrow	Hat	UpArrow	Hat	Spade
LightYellow_Choice	Rabbit_Choice	Rabbit_Choice	DarkBlue_Choice	Diamond_Choice	DarkBlue_Choice	LightPurple_Choice	Spade_Choice	DarkRed_Choice	Bar_Choice	Bar_Choice	LightTurquiose_Choice	DarkGray_Choice	DarkGray_Choice	DarkRed_Choice	UpArrow_Choice	Spade_Choice	DarkGray_Choice	LightPurple_Choice	DarkGreen_Choice	UpArrow_Choice	UpArrow_Choice	UpArrow_Choice	Hat_Choice	UpArrow_Choice	Hat_Choice	Spade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	DarkBlue	LightPurple	UpArrow	Diamond	LightTurquiose	DarkBlue	DarkGray	Rabbit	Bar	DarkGray	Hat	Diamond	UpArrow	LightYellow	LightPurple	UpArrow	Nail	UpArrow	Nail	Bar	Bar	Bar	DarkGreen	Bar	Nail	LightTurquiose
Bar	DarkBlue	LightPurple	UpArrow	Diamond	LightTurquiose	DarkBlue	DarkGray	Rabbit	Bar	DarkGray	Hat	Diamond	UpArrow	LightYellow	LightPurple	UpArrow	Nail	UpArrow	Nail	Bar	Bar	Bar	DarkGreen	Bar	Nail	LightTurquiose
Bar	DarkBlue	LightPurple	UpArrow	Diamond	LightTurquiose	DarkBlue	DarkGray	Rabbit	Bar	DarkGray	Hat	Diamond	UpArrow	LightYellow	LightPurple	UpArrow	Nail	UpArrow	Nail	Bar	Bar	Bar	DarkGreen	Bar	Nail	LightTurquiose
Bar_Choice	DarkBlue_Choice	LightPurple_Choice	UpArrow_Choice	Diamond_Choice	LightTurquiose_Choice	DarkBlue_Choice	DarkGray_Choice	Rabbit_Choice	Bar_Choice	DarkGray_Choice	Hat_Choice	Diamond_Choice	UpArrow_Choice	LightYellow_Choice	LightPurple_Choice	UpArrow_Choice	Nail_Choice	UpArrow_Choice	Nail_Choice	Bar_Choice	Bar_Choice	Bar_Choice	DarkGreen_Choice	Bar_Choice	Nail_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
