14	15	16	17	18	19	20	21	5	6	7	8	9	10	11	12	13
LightTurquiose_Choice	Venn_Choice	LightYellow_Choice	LightRed_Choice	LightRed_Choice	LightTurquiose_Choice	Rabbit_Choice	LightYellow_Choice	LightYellow_Choice	Lock_Choice	Bar_Choice	Bar_Choice	LightGreen_Choice	LightTurquiose_Choice	LightTurquiose_Choice	LightRed_Choice	Spade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Diamond	Diamond	LightGray	Hourglass	LightRed	LightBlue	Hourglass	LightYellow	LightGreen	LightYellow	Lock	DarkGray	Spade	Lock	DarkYellow	LightGreen	Venn
Diamond	Diamond	LightGray	Hourglass	LightRed	LightBlue	Hourglass	LightYellow	LightGreen	LightYellow	Lock	DarkGray	Spade	Lock	DarkYellow	LightGreen	Venn
Diamond	Diamond	LightGray	Hourglass	LightRed	LightBlue	Hourglass	LightYellow	LightGreen	LightYellow	Lock	DarkGray	Spade	Lock	DarkYellow	LightGreen	Venn
Diamond_Choice	Diamond_Choice	LightGray_Choice	Hourglass_Choice	LightRed_Choice	LightBlue_Choice	Hourglass_Choice	LightYellow_Choice	LightGreen_Choice	LightYellow_Choice	Lock_Choice	DarkGray_Choice	Spade_Choice	Lock_Choice	DarkYellow_Choice	LightGreen_Choice	Venn_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Diamond	Venn	Venn	Rabbit	LightPurple	LightTurquiose	Spade	DarkGreen	Hat	Diamond	DarkGray	Diamond	LightRed	Hourglass	DarkYellow	Lock	Spade
Diamond	Venn	Venn	Rabbit	LightPurple	LightTurquiose	Spade	DarkGreen	Hat	Diamond	DarkGray	Diamond	LightRed	Hourglass	DarkYellow	Lock	Spade
Diamond	Venn	Venn	Rabbit	LightPurple	LightTurquiose	Spade	DarkGreen	Hat	Diamond	DarkGray	Diamond	LightRed	Hourglass	DarkYellow	Lock	Spade
